"","Subject","Condition","ListNum","Block","Recall","Direction","Jol"
"482",97,"A",2,1,1,"F",100
"483",97,"A",3,1,1,"F",100
"484",97,"A",4,1,1,"F",100
"485",97,"A",5,1,1,"F",50
"486",97,"A",6,1,1,"F",0
"487",97,"A",7,1,1,"F",50
"488",97,"A",8,1,1,"F",100
"489",97,"A",9,1,1,"F",75
"490",97,"A",10,1,1,"F",100
"491",97,"A",11,1,1,"F",50
"492",97,"A",12,1,1,"F",100
"493",97,"A",13,1,1,"F",100
"494",97,"A",14,1,1,"F",75
"495",97,"A",15,1,1,"F",100
"496",97,"A",16,1,1,"F",75
"497",97,"A",17,1,1,"F",75
"498",97,"A",18,1,1,"F",100
"499",97,"A",19,1,1,"F",100
"500",97,"A",20,1,1,"F",100
"501",97,"A",21,1,1,"B",100
"502",97,"A",22,1,0,"B",100
"503",97,"A",23,1,0,"B",75
"504",97,"A",24,1,0,"B",100
"505",97,"A",25,1,1,"B",50
"506",97,"A",26,1,1,"B",100
"507",97,"A",27,1,1,"B",100
"508",97,"A",28,1,1,"B",100
"509",97,"A",29,1,1,"B",50
"510",97,"A",30,1,1,"B",100
"511",97,"A",31,1,1,"B",100
"512",97,"A",32,1,0,"B",100
"513",97,"A",33,1,1,"B",100
"514",97,"A",34,1,0,"B",50
"515",97,"A",35,1,0,"B",100
"516",97,"A",36,1,1,"B",100
"517",97,"A",37,1,1,"B",100
"518",97,"A",38,1,0,"B",50
"519",97,"A",39,1,1,"B",75
"520",97,"A",40,1,1,"B",100
"521",97,"A",41,1,1,"S",100
"522",97,"A",42,1,1,"S",100
"523",97,"A",43,1,0,"S",100
"524",97,"A",44,1,1,"S",100
"525",97,"A",45,1,1,"S",75
"526",97,"A",46,1,1,"S",75
"527",97,"A",47,1,1,"S",100
"528",97,"A",48,1,1,"S",75
"529",97,"A",49,1,1,"S",100
"530",97,"A",50,1,0,"S",100
"531",97,"A",51,1,1,"S",100
"532",97,"A",52,1,1,"S",100
"533",97,"A",53,1,1,"S",100
"534",97,"A",54,1,1,"S",100
"535",97,"A",55,1,1,"S",100
"536",97,"A",56,1,1,"S",100
"537",97,"A",57,1,1,"S",100
"538",97,"A",58,1,1,"S",0
"539",97,"A",59,1,1,"S",0
"540",97,"A",60,1,1,"S",0
"541",97,"A",61,1,0,"U",25
"542",97,"A",62,1,0,"U",25
"543",97,"A",63,1,1,"U",25
"544",97,"A",64,1,1,"U",25
"545",97,"A",65,1,0,"U",25
"546",97,"A",66,1,1,"U",25
"547",97,"A",67,1,1,"U",25
"548",97,"A",68,1,0,"U",25
"549",97,"A",69,1,1,"U",0
"550",97,"A",70,1,1,"U",25
"551",97,"A",71,1,1,"U",0
"552",97,"A",72,1,1,"U",0
"553",97,"A",73,1,0,"U",25
"554",97,"A",74,1,1,"U",0
"555",97,"A",75,1,1,"U",25
"556",97,"A",76,1,0,"U",25
"557",97,"A",77,1,1,"U",0
"558",97,"A",78,1,0,"U",100
"559",97,"A",79,1,1,"U",25
"560",97,"A",80,1,1,"U",75
"561",101,"A",1,1,0,"F",100
"562",101,"A",2,1,0,"F",75
"563",101,"A",3,1,1,"F",100
"564",101,"A",4,1,0,"F",100
"565",101,"A",5,1,0,"F",100
"566",101,"A",6,1,0,"F",75
"567",101,"A",7,1,0,"F",0
"568",101,"A",8,1,0,"F",25
"569",101,"A",9,1,0,"F",100
