Subject,Condition,ListNum,Jol,Recall,Direction,block
17,A,q108,5,0,B,2
17,A,q109,30,100,B,2
17,A,q110,45,0,B,2
17,A,q111,35,100,B,2
17,A,q112,45,0,B,2
17,A,q113,50,0,B,2
17,A,q114,30,100,B,2
17,A,q115,30,0,B,2
17,A,q116,40,100,B,2
17,A,q117,30,0,B,2
17,A,q118,35,100,B,2
17,A,q119,45,0,B,2
17,A,q120,45,0,B,2
17,A,q121,50,100,S,2
17,A,q122,45,100,S,2
17,A,q123,50,100,S,2
17,A,q124,40,100,S,2
17,A,q125,35,0,S,2
17,A,q126,20,100,S,2
17,A,q127,30,100,S,2
17,A,q128,40,100,S,2
17,A,q129,30,100,S,2
17,A,q130,50,0,S,2
17,A,q131,45,100,S,2
17,A,q132,30,100,S,2
17,A,q133,50,100,S,2
17,A,q134,40,0,S,2
17,A,q135,25,0,S,2
17,A,q136,50,100,S,2
17,A,q137,50,100,S,2
17,A,q138,5,100,S,2
17,A,q139,45,0,S,2
17,A,q140,45,0,S,2
17,A,q141,20,0,U,2
17,A,q142,21,0,U,2
17,A,q143,21,0,U,2
17,A,q144,10,0,U,2
17,A,q145,12,0,U,2
17,A,q146,50,100,U,2
17,A,q147,30,0,U,2
17,A,q148,5,0,U,2
17,A,q149,10,0,U,2
17,A,q150,10,0,U,2
17,A,q151,10,0,U,2
17,A,q152,23,0,U,2
17,A,q153,20,100,U,2
17,A,q154,10,0,U,2
17,A,q155,10,0,U,2
17,A,q156,0,0,U,2
17,A,q157,0,100,U,2
17,A,q158,10,0,U,2
17,A,q159,10,0,U,2
17,A,q160,10,0,U,2
21,A,q1,89,0,F,1
21,A,q2,60,100,F,1
21,A,q3,57,0,F,1
21,A,q4,22,100,F,1
21,A,q5,40,0,F,1
21,A,q6,99,0,F,1
21,A,q7,90,0,F,1
21,A,q8,79,0,F,1
21,A,q9,88,100,F,1
21,A,q10,89,100,F,1
21,A,q11,90,100,F,1
21,A,q12,88,0,F,1
21,A,q13,80,100,F,1
21,A,q14,20,0,F,1
21,A,q15,100,0,F,1
21,A,q16,70,0,F,1
21,A,q17,60,100,F,1
21,A,q18,100,100,F,1
21,A,q19,60,0,F,1
21,A,q20,100,100,F,1
21,A,q21,96,0,B,1
21,A,q22,80,0,B,1
21,A,q23,88,0,B,1
21,A,q24,0,0,B,1
21,A,q25,90,0,B,1
21,A,q26,80,0,B,1
21,A,q27,90,100,B,1
21,A,q28,96,100,B,1
21,A,q29,90,100,B,1
21,A,q30,90,100,B,1
21,A,q31,40,0,B,1
21,A,q32,90,0,B,1
21,A,q33,90,0,B,1
21,A,q34,50,0,B,1
21,A,q35,55,0,B,1
21,A,q36,98,0,B,1
21,A,q37,60,0,B,1
21,A,q38,99,0,B,1
21,A,q39,89,100,B,1
21,A,q40,60,100,B,1
21,A,q41,75,0,S,1
21,A,q42,20,0,S,1
21,A,q43,50,0,S,1
21,A,q44,60,0,S,1
21,A,q45,90,100,S,1
21,A,q46,79,0,S,1
21,A,q47,45,0,S,1
21,A,q48,87,0,S,1
21,A,q49,100,100,S,1
21,A,q50,70,100,S,1
21,A,q51,88,100,S,1
21,A,q52,87,0,S,1
21,A,q53,85,100,S,1
21,A,q54,0,100,S,1
21,A,q55,88,0,S,1
21,A,q56,100,0,S,1
21,A,q57,88,100,S,1
21,A,q58,99,100,S,1
21,A,q59,90,0,S,1
21,A,q60,80,100,S,1
21,A,q61,0,0,U,1
21,A,q62,10,0,U,1
21,A,q63,77,0,U,1
21,A,q64,79,0,U,1
21,A,q65,20,0,U,1
21,A,q66,20,0,U,1
21,A,q67,30,0,U,1
21,A,q68,22,0,U,1
21,A,q69,22,0,U,1
21,A,q70,88,0,U,1
21,A,q71,77,0,U,1
21,A,q72,90,0,U,1
21,A,q73,70,0,U,1
21,A,q74,30,0,U,1
21,A,q75,30,0,U,1
21,A,q76,50,0,U,1
21,A,q77,30,0,U,1
21,A,q78,30,0,U,1
21,A,q79,80,0,U,1
21,A,q80,10,0,U,1
21,A,q81,23,0,F,2
21,A,q82,96,0,F,2
21,A,q83,55,100,F,2
21,A,q84,95,0,F,2
21,A,q85,80,0,F,2
21,A,q86,70,100,F,2
21,A,q87,65,0,F,2
21,A,q88,60,0,F,2
21,A,q89,90,0,F,2
21,A,q90,88,100,F,2
21,A,q91,90,0,F,2
21,A,q92,95,100,F,2
21,A,q93,90,0,F,2
21,A,q94,70,100,F,2
21,A,q95,11,0,F,2
21,A,q96,90,0,F,2
21,A,q97,70,100,F,2
21,A,q98,55,100,F,2
21,A,q99,90,100,F,2
21,A,q100,66,100,F,2
21,A,q101,70,100,B,2
21,A,q102,90,0,B,2
21,A,q103,99,0,B,2
21,A,q104,65,100,B,2
21,A,q105,99,100,B,2
21,A,q106,80,100,B,2
21,A,q107,90,0,B,2
21,A,q108,80,0,B,2
21,A,q109,80,0,B,2
21,A,q110,70,0,B,2
21,A,q111,95,0,B,2
21,A,q112,80,0,B,2
21,A,q113,90,0,B,2
21,A,q114,90,0,B,2
21,A,q115,60,0,B,2
21,A,q116,90,0,B,2
21,A,q117,90,0,B,2
21,A,q118,99,100,B,2
21,A,q119,90,0,B,2
21,A,q120,45,0,B,2
21,A,q121,90,0,S,2
21,A,q122,80,0,S,2
21,A,q123,90,100,S,2
21,A,q124,88,0,S,2
21,A,q125,90,100,S,2
21,A,q126,70,0,S,2
21,A,q127,99,100,S,2
21,A,q128,90,0,S,2
21,A,q129,70,0,S,2
21,A,q130,99,100,S,2
21,A,q131,99,100,S,2
21,A,q132,75,0,S,2
21,A,q133,88,100,S,2
21,A,q134,77,0,S,2
21,A,q135,31,100,S,2
21,A,q136,85,0,S,2
21,A,q137,86,100,S,2
21,A,q138,22,100,S,2
21,A,q139,66,0,S,2
21,A,q140,0,0,S,2
21,A,q141,1,0,U,2
21,A,q142,22,0,U,2
21,A,q143,35,0,U,2
21,A,q144,55,0,U,2
21,A,q145,12,0,U,2
21,A,q146,80,0,U,2
21,A,q147,20,0,U,2
21,A,q148,1,0,U,2
21,A,q149,60,0,U,2
21,A,q150,88,0,U,2
21,A,q151,9,0,U,2
21,A,q152,65,0,U,2
21,A,q153,33,0,U,2
21,A,q154,88,0,U,2
21,A,q155,70,0,U,2
21,A,q156,31,0,U,2
21,A,q157,80,0,U,2
21,A,q158,85,0,U,2
21,A,q159,90,0,U,2
21,A,q160,55,0,U,2
25,A,q1,25,100,F,1
25,A,q2,30,100,F,1
25,A,q3,40,0,F,1
25,A,q4,40,0,F,1
25,A,q5,40,0,F,1
25,A,q6,45,0,F,1
25,A,q7,40,0,F,1
25,A,q8,25,0,F,1
25,A,q9,30,100,F,1
25,A,q10,30,100,F,1
25,A,q11,40,100,F,1
25,A,q12,50,100,F,1
25,A,q13,30,100,F,1
25,A,q14,40,100,F,1
25,A,q15,60,100,F,1
25,A,q16,30,0,F,1
25,A,q17,30,100,F,1
25,A,q18,75,100,F,1
25,A,q19,40,100,F,1
25,A,q20,50,100,F,1
25,A,q21,30,0,B,1
25,A,q22,50,0,B,1
25,A,q23,50,0,B,1
25,A,q24,30,0,B,1
25,A,q25,30,0,B,1
25,A,q26,50,100,B,1
25,A,q27,30,100,B,1
25,A,q28,30,0,B,1
25,A,q29,50,0,B,1
25,A,q30,40,0,B,1
25,A,q31,50,100,B,1
