"","Subject","Condition","ListNum","Block","Recall","Subject","Condition","ListNum","Block","Direction","Jol"
"383",65,"A",63,1,1,65,"A",63,1,"U",25
"384",65,"A",64,1,1,65,"A",64,1,"U",0
"385",65,"A",65,1,0,65,"A",65,1,"U",0
"386",65,"A",66,1,0,65,"A",66,1,"U",0
"387",65,"A",67,1,0,65,"A",67,1,"U",25
"388",65,"A",68,1,0,65,"A",68,1,"U",0
"389",65,"A",69,1,0,65,"A",69,1,"U",0
"390",65,"A",70,1,0,65,"A",70,1,"U",10
"391",65,"A",71,1,0,65,"A",71,1,"U",20
"392",65,"A",72,1,0,65,"A",72,1,"U",0
"393",65,"A",73,1,0,65,"A",73,1,"U",0
"394",65,"A",74,1,1,65,"A",74,1,"U",5
"395",65,"A",75,1,0,65,"A",75,1,"U",0
"396",65,"A",76,1,0,65,"A",76,1,"U",60
"397",65,"A",77,1,0,65,"A",77,1,"U",0
"398",65,"A",78,1,0,65,"A",78,1,"U",0
"399",65,"A",79,1,0,65,"A",79,1,"U",0
"400",65,"A",80,1,1,65,"A",80,1,"U",0
"401",69,"A",1,1,0,69,"A",1,1,"F",0
"402",69,"A",2,1,1,69,"A",2,1,"F",90
"403",69,"A",3,1,0,69,"A",3,1,"F",90
"404",69,"A",4,1,0,69,"A",4,1,"F",0
"405",69,"A",5,1,1,69,"A",5,1,"F",80
"406",69,"A",6,1,0,69,"A",6,1,"F",40
"407",69,"A",7,1,0,69,"A",7,1,"F",60
"408",69,"A",8,1,1,69,"A",8,1,"F",80
"409",69,"A",9,1,1,69,"A",9,1,"F",50
"410",69,"A",10,1,1,69,"A",10,1,"F",80
"411",69,"A",11,1,0,69,"A",11,1,"F",100
"412",69,"A",12,1,1,69,"A",12,1,"F",90
"413",69,"A",13,1,0,69,"A",13,1,"F",80
"414",69,"A",14,1,0,69,"A",14,1,"F",40
"415",69,"A",15,1,1,69,"A",15,1,"F",50
"416",69,"A",16,1,0,69,"A",16,1,"F",80
"417",69,"A",17,1,0,69,"A",17,1,"F",60
"418",69,"A",18,1,1,69,"A",18,1,"F",100
"419",69,"A",19,1,1,69,"A",19,1,"F",80
"420",69,"A",20,1,1,69,"A",20,1,"F",100
"421",69,"A",21,1,0,69,"A",21,1,"B",100
"422",69,"A",22,1,0,69,"A",22,1,"B",100
"423",69,"A",23,1,0,69,"A",23,1,"B",70
"424",69,"A",24,1,0,69,"A",24,1,"B",70
"425",69,"A",25,1,0,69,"A",25,1,"B",90
"426",69,"A",26,1,0,69,"A",26,1,"B",90
"427",69,"A",27,1,0,69,"A",27,1,"B",40
"428",69,"A",28,1,0,69,"A",28,1,"B",60
"429",69,"A",29,1,1,69,"A",29,1,"B",30
"430",69,"A",30,1,1,69,"A",30,1,"B",80
"431",69,"A",31,1,0,69,"A",31,1,"B",50
"432",69,"A",32,1,0,69,"A",32,1,"B",100
"433",69,"A",33,1,0,69,"A",33,1,"B",50
"434",69,"A",34,1,1,69,"A",34,1,"B",90
"435",69,"A",35,1,0,69,"A",35,1,"B",40
"436",69,"A",36,1,0,69,"A",36,1,"B",50
"437",69,"A",37,1,0,69,"A",37,1,"B",100
"438",69,"A",38,1,0,69,"A",38,1,"B",40
"439",69,"A",39,1,1,69,"A",39,1,"B",80
