Subject,Block,ListNum,cue_target,cue_target,Task,RT,Direction
2,1,7,Furry - ?,Furry ,Recall,4020,F
2,1,8,Litter - ?,Litter ,Recall,3154,F
2,1,9,Cherry - ?,Cherry ,Recall,2260,F
2,1,10,Scalp - ?,Scalp ,Recall,5902,F
2,1,11,Driver - ?,Driver ,Recall,3455,F
2,1,12,Chop - ?,Chop ,Recall,3498,F
2,1,13,Mule - ?,Mule ,Recall,1756,F
2,1,14,Document - ?,Document ,Recall,5536,F
2,1,15,Incense - ?,Incense ,Recall,3678,F
2,1,16,Dine - ?,Dine ,Recall,1902,F
2,1,17,Shears - ?,Shears ,Recall,1920,F
2,1,18,Feud - ?,Feud ,Recall,5384,F
2,1,19,Chill - ?,Chill ,Recall,3864,F
2,1,20,Affection - ?,Affection ,Recall,2635,F
2,1,21,Turn - ?,Turn ,Recall,1817,B
2,1,22,Car - ?,Car ,Recall,4449,B
2,1,23,Bad - ?,Bad ,Recall,4423,B
2,1,24,Bird - ?,Bird ,Recall,3732,B
2,1,25,Star - ?,Star ,Recall,1686,B
2,1,26,Thread - ?,Thread ,Recall,4916,B
2,1,27,Even - ?,Even ,Recall,2808,B
2,1,28,Pop - ?,Pop ,Recall,2694,B
2,1,29,Fruit - ?,Fruit ,Recall,2060,B
2,1,30,Best - ?,Best ,Recall,6107,B
2,1,31,Cat - ?,Cat ,Recall,4927,B
2,1,32,Glass - ?,Glass ,Recall,3152,B
2,1,33,Dead - ?,Dead ,Recall,1662,B
2,1,34,Plane - ?,Plane ,Recall,9635,B
2,1,35,Fish - ?,Fish ,Recall,3491,B
2,1,36,Baseball - ?,Baseball ,Recall,5077,B
2,1,37,Money - ?,Money ,Recall,1988,B
2,1,38,Honest - ?,Honest ,Recall,5195,B
2,1,39,Sleep - ?,Sleep ,Recall,4382,B
2,1,40,Fight - ?,Fight ,Recall,2677,B
2,1,41,Razor - ?,Razor ,Recall,2354,S
2,1,42,Rights - ?,Rights ,Recall,9890,S
2,1,43,Mason - ?,Mason ,Recall,5120,S
2,1,44,Candle - ?,Candle ,Recall,1807,S
2,1,45,Wrist - ?,Wrist ,Recall,2371,S
2,1,46,Element - ?,Element ,Recall,6088,S
2,1,47,Gone - ?,Gone ,Recall,3622,S
2,1,48,Water,Water,Recall,3304,S
2,1,49,Earth - ?,Earth ,Recall,2075,S
2,1,50,Alone - ?,Alone ,Recall,6255,S
2,1,51,Dry - ?,Dry ,Recall,2952,S
2,1,52,Safety - ?,Safety ,Recall,3954,S
2,1,53,Truth - ?,Truth ,Recall,1019,S
2,1,54,Phone - ?,Phone ,Recall,4450,S
2,1,55,Rod - ?,Rod ,Recall,3811,S
2,1,56,Flea - ?,Flea ,Recall,2123,S
2,1,57,Loud - ?,Loud ,Recall,1275,S
2,1,58,Own - ?,Own ,Recall,4468,S
2,1,59,Tantrum - ?,Tantrum ,Recall,3759,S
2,1,60,Sun - ?,Sun ,Recall,2146,S
2,1,61,Justice - ?,Justice ,Recall,1365,U
2,1,62,Stretch - ?,Stretch ,Recall,3822,U
2,1,63,Give - ?,Give ,Recall,3603,U
2,1,64,Maze - ?,Maze ,Recall,2615,U
2,1,65,Vehicle - ?,Vehicle ,Recall,1634,U
2,1,66,Meat - ?,Meat ,Recall,4929,U
2,1,67,Crackle - ?,Crackle ,Recall,3141,U
2,1,68,Shell - ?,Shell ,Recall,1989,U
2,1,69,Listen - ?,Listen ,Recall,1701,U
2,1,70,Keys - ?,Keys ,Recall,5179,U
2,1,71,Cake - ?,Cake ,Recall,2920,U
2,1,72,Name - ?,Name ,Recall,1795,U
2,1,73,Fuzzy - ?,Fuzzy ,Recall,4568,U
2,1,74,Moat - ?,Moat ,Recall,5840,U
2,1,75,Lease - ?,Lease ,Recall,2702,U
2,1,76,Loan - ?,Loan ,Recall,4167,U
2,1,77,Both - ?,Both ,Recall,1419,U
2,1,78,Temperature - ?,Temperature ,Recall,4868,U
2,1,79,Mirror - ?,Mirror ,Recall,3341,U
2,1,80,Main - ?,Main ,Recall,2203,U
2,2,1,Delinquent - ?,Delinquent ,Recall,4972,F
2,2,2,Digestion - ?,Digestion ,Recall,3509,F
2,2,3,Wage - ?,Wage ,Recall,8450,F
2,2,4,Chisel - ?,Chisel ,Recall,3232,F
2,2,5,Editor - ?,Editor ,Recall,3809,F
2,2,6,Hornet - ?,Hornet ,Recall,2600,F
2,2,7,Bitter - ?,Bitter ,Recall,8364,F
2,2,8,Root - ?,Root ,Recall,4913,F
2,2,9,Swan - ?,Swan ,Recall,3867,F
2,2,10,Paw - ?,Paw ,Recall,2401,F
2,2,11,Way - ?,Way ,Recall,5414,F
2,2,12,Hygiene - ?,Hygiene ,Recall,5401,F
2,2,13,Bridge - ?,Bridge ,Recall,3633,F
2,2,14,Geology - ?,Geology ,Recall,2194,F
2,2,15,Revolution - ?,Revolution ,Recall,7493,F
2,2,16,Discussion - ?,Discussion ,Recall,2989,F
2,2,17,Herd - ?,Herd ,Recall,3077,F
2,2,18,Credit - ?,Credit ,Recall,2398,F
2,2,19,Orchid - ?,Orchid ,Recall,7229,F
2,2,20,Tuna - ?,Tuna ,Recall,4427,F
2,2,21,Full - ?,Full ,Recall,3148,B
2,2,22,Drink - ?,Drink ,Recall,2835,B
2,2,23,Dark - ?,Dark ,Recall,8092,B
2,2,24,Take - ?,Take ,Recall,5707,B
2,2,25,Height - ?,Height ,Recall,2812,B
2,2,26,Sentence - ?,Sentence ,Recall,1789,B
2,2,27,Bug - ?,Bug ,Recall,8459,B
2,2,28,Math - ?,Math ,Recall,3688,B
2,2,29,Law - ?,Law ,Recall,3291,B
2,2,30,Great - ?,Great ,Recall,2839,B
2,2,31,Key - ?,Key ,Recall,10507,B
2,2,32,Hot - ?,Hot ,Recall,4303,B
2,2,33,Ball - ?,Ball ,Recall,3575,B
2,2,34,Work - ?,Work ,Recall,2358,B
2,2,35,Hunger - ?,Hunger ,Recall,5923,B
2,2,36,Sleep - ?,Sleep ,Recall,8546,B
2,2,37,Smell - ?,Smell ,Recall,3184,B
2,2,38,Clothes - ?,Clothes ,Recall,3086,B
2,2,39,Plane - ?,Plane ,Recall,8649,B
2,2,40,Fire - ?,Fire ,Recall,3833,B
2,2,41,Due - ?,Due ,Recall,5154,S
2,2,42,Number - ?,Number ,Recall,3374,S
2,2,43,Location - ?,Location ,Recall,8613,S
2,2,44,Dump - ?,Dump ,Recall,3510,S
2,2,45,Trial - ?,Trial ,Recall,3635,S
2,2,46,Architecture - ?,Architecture ,Recall,2314,S
2,2,47,Grill - ?,Grill ,Recall,6677,S
