Cue,Target,Concrete_1,Logsub_1,length_1,Concrete_2,Logsub_2,Length_2,Direction
KING                     ,VASE                     ,5.54,3.8191,4,NA,2.2945,4,U
EXTENSION,LONG,NA,2.4409,9,3.68,4.537,4,F
CLUE,GAME,3.71,2.9538,4,4.72,4.0765,4,F
CACTUS,PLANT,NA,2.1732,6,5.98,3.1489,5,F
SHOELACE,TIE,NA,1.5911,8,5.55,3.3555,3,F
DETECTIVE,MYSTERY,NA,NA,9,NA,3.0689,7,F
ADJOURN,END,NA,1.8261,7,3.16,4.1323,3,F
FURRY,DOG,4.22,2.0899,5,5.75,3.9928,3,F
LITTER,TRASH,4.71,2.3032,6,5.76,3.0596,5,F
CHERRY,RED,5.86,2.8414,6,4.97,3.8781,3,F
SCALP,HEAD,6.18,2.2765,5,5.98,4.2776,4,F
DRIVER,CAR,NA,3.3833,6,6.35,4.3916,3,F
CHOP,CUT,4.08,2.842,4,4.15,4.0689,3,F
MULE,DONKEY,5.39,2.5551,4,6.67,2.4378,6,F
DOCUMENT,PAPER,NA,2.7126,8,5.96,3.722,5,F
INCENSE,SMELL,4.88,1.9685,7,4.4,3.6275,5,F
DINE,EAT,4.36,2.3424,4,4.75,4.1088,3,F
SHEARS,SCISSORS,NA,1.6902,6,5.92,2.534,8,F
FEUD,FIGHT,3.08,1.8261,4,4.16,4.011,5,F
CHILL,COLD,4.4,2.9186,5,4.67,3.8221,4,F
AFFECTION,LOVE,3.7,2.6355,9,3.51,4.7548,4,F
TURN,FLIP,3.4,4.194,4,NA,2.8627,4,B
CAR,WINDSHIELD,6.35,4.3916,3,NA,2.2253,10,B
BAD,VILLAIN,3,4.4441,3,NA,2.3284,7,B
BIRD,PENGUIN,5.77,3.3653,4,6.47,2.1703,7,B
STAR,ACTRESS,5.59,3.618,4,NA,2.9128,7,B
THREAD,THIMBLE,6.04,2.4216,6,5.18,1.1761,7,B
EVEN,REVENGE,2.75,4.65,4,2.78,2.9877,7,B
POP,BALLOON,3.85,NA,3,6.1,2.6464,7,B
FRUIT,STRAWBERRY,6,3.0449,5,7,2.4518,10,B
BEST,FAVORITE,2.67,4.3144,4,NA,3.4819,8,B
CAT,PANTHER,6.21,3.5294,3,6.83,NA,7,B
GLASS,BREAKABLE,6.31,3.4909,5,NA,0.9542,9,B
DEAD,COFFIN,4.25,4.3598,4,5.91,2.6646,6,B
PLANE,AIRCRAFT,5.31,3.6878,5,NA,2.6839,8,B
FISH,SARDINE,5.84,3.6293,4,5.93,1.6721,7,B
BASEBALL,LEAGUE,5.75,3.1103,8,NA,2.9782,6,B
MONEY,BANKER,5.77,4.5143,5,6.38,2.3874,6,B
HONEST,TRUTHFUL,2.74,3.567,6,2.43,2.0414,8,B
SLEEP,NAP,4.74,4.0654,5,NA,2.8102,3,B
FIGHT,BRAWL,4.16,4.011,5,4.72,2.0374,5,B
RAZOR,SHAVE,6.32,2.5465,5,4.54,2.847,5,S
RIGHTS,EQUAL,NA,3.1793,6,2.68,2.8344,5,S
MASON,JAR,NA,NA,5,5.77,2.6284,3,S
CANDLE,WAX,5.37,2.6128,6,5.47,2.6646,3,S
WRIST,BRACELET,6.45,2.7226,5,5.98,2.601,8,S
ELEMENT,CARBON,NA,2.5302,7,5.07,2.4281,6,S
GONE,AWAY,3.02,4.18,4,2.53,4.5714,4,S
WATER,DRINK,6.27,4.0599,5,4.95,3.4291,5,S
EARTH,GROUND,5.77,3.7054,5,5.44,3.5678,6,S
